MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom
21427645,1600000.0,85750,-110.864694,32.331871,1.04,14202,1994,5,8,6677.0,3.0,0,220.0,1,0,0,1,239.62857570765314,320000.0,1.6
21513759,1995000.0,85718,-110.912989,32.341088,1.88,27781,2004,4,6,6236.0,3.0,5,422.0,1,0,0,1,319.91661321359845,498750.0,1.5
21304760,1750000.0,85718,-110.922363,32.312618,1.22,10780,2004,5,5,5338.0,4.0,4,159.0,1,0,0,1,327.8381416260772,350000.0,1.0
21806714,1897000.0,85750,-110.84556,32.327725,1.32,21910,2002,4,7,6800.0,3.0,4,142.0,1,0,1,0,278.97058823529414,474250.0,1.75
21800057,1800000.0,85718,-110.908631,32.299399,1.42,4127,2018,5,6,5634.0,4.0,3,193.0,1,0,0,1,319.4888178913738,360000.0,1.2
21902520,1950000.0,85715,-110.856406,32.255235,1.97,10191,2013,4,6,5097.0,4.0,4,69.0,1,0,1,0,382.5779870512066,487500.0,1.5
21826787,1800000.0,85718,-110.930531,32.292393,5.28,12074,1943,5,4,5324.0,2.0,3,0.0,0,1,0,1,338.09166040571,360000.0,0.8
21909947,1950000.0,85718,-110.915343,32.288005,1.57,3767,2019,4,6,4714.0,3.0,2,208.0,0,1,0,1,413.6614340263046,487500.0,1.5
21905469,1500000.0,85658,-111.036573,32.45575,4.15,23880,2009,3,4,5440.0,3.0,3,342.0,0,1,1,0,275.7352941176471,500000.0,1.3333333333333333
21129203,1795000.0,85718,-110.913897,32.33625,0.86,12529,2005,5,5,6299.0,3.0,2,50.0,1,0,0,1,284.9658675980314,359000.0,1.0
21731870,1700000.0,85749,-110.760047,32.238923,18.17,8602,1953,4,4,2385.0,0.0,2,0.0,0,1,0,1,712.7882599580713,425000.0,1.0
21604057,1751330.0,85718,-110.943375,32.348627,1.16,21083,2009,5,6,7756.0,3.0,4,169.0,1,0,0,1,225.80324909747293,350266.0,1.2
21202108,1900000.0,85750,-110.858992,32.332548,1.3,11690,2006,4,5,5843.0,3.0,4,191.0,0,1,0,1,325.17542358377545,475000.0,1.25
21226060,1912500.0,85718,-110.920123,32.28567,2.22,16702,2008,5,8,6602.0,3.0,4,194.0,1,0,0,1,289.68494395637686,382500.0,1.6
21222026,1890000.0,85715,-110.859528,32.262883,1.17,8437,1968,4,5,4801.0,3.0,2,79.0,0,1,0,1,393.6679858362841,472500.0,1.25
21801745,1750000.0,85718,-110.875675,32.335414,3.81,15484,1982,4,6,6354.0,3.0,4,0.0,1,0,0,1,275.4170601196097,437500.0,1.5
21900189,1860000.0,85718,-110.942071,32.350188,1.09,5943,2018,5,5,5764.0,4.0,3,157.0,1,0,1,0,322.69257460097157,372000.0,1.0
21728412,1825000.0,85718,-110.919685,32.342472,1.02,18578,1995,5,7,7451.0,3.0,4,323.0,1,0,1,0,244.9335659643001,365000.0,1.4
21506488,1400000.0,85750,-110.807964,32.282133,0.32,7434,1999,3,4,3058.0,2.0,1,1100.0,1,0,0,1,457.8155657292348,466666.6666666667,1.3333333333333333
21230229,1700000.0,85718,-110.924011,32.34114,0.0,17874,2005,5,6,6719.0,4.0,3,250.0,1,0,0,1,253.01384134543832,340000.0,1.2
21111686,1750000.0,85718,-110.924898,32.310463,1.08,16026,2006,5,6,6264.0,4.0,4,158.0,1,0,0,1,279.3742017879949,350000.0,1.2
21409830,1909299.0,85658,-111.096949,32.467874,0.46,1609,2015,3,4,3276.0,2.0,2,550.0,1,0,0,1,582.8141025641025,636433.0,1.3333333333333333
21625846,1750000.0,85749,-110.76159,32.302163,3.71,13947,2005,4,6,6239.0,3.0,5,127.0,1,0,0,1,280.49366885718865,437500.0,1.5
21722350,1658695.0,85718,-110.913585,32.341397,2.18,23203,2001,4,7,7185.0,3.0,2,422.0,1,0,0,1,230.85525400139178,414673.75,1.75
21604114,1675000.0,85718,-110.94552,32.350191,1.15,17921,2007,4,5,5813.0,4.0,5,169.0,1,0,0,1,288.1472561500086,418750.0,1.25
21619445,1800000.0,85658,-111.063488,32.461205,2.0,1974,2016,3,4,5000.0,3.0,2,149.0,0,1,0,1,360.0,600000.0,1.3333333333333333
21705708,1960000.0,85718,-110.894648,32.335454,4.2,17435,2001,5,8,7043.0,3.0,3,83.0,1,0,0,1,278.2905012068721,392000.0,1.6
21204564,1600000.0,85658,-111.089977,32.466875,0.65,5121,2011,3,4,3625.0,3.0,5,118.0,1,0,0,1,441.37931034482756,533333.3333333334,1.3333333333333333
21317138,1680000.0,85750,-110.866463,32.331701,1.26,3646,2013,5,5,5432.0,4.0,3,220.0,1,0,0,1,309.2783505154639,336000.0,1.0
21221092,1750000.0,85658,-111.095519,32.471311,0.47,11139,2008,4,5,4724.0,3.0,2,550.0,1,0,0,1,370.44877222692634,437500.0,1.25
