sold_price,longitude,zipcode,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_standard,floor_covering_luxury,kitchen_features_standard,kitchen_features_luxury,price_per_ft,price_per_bed_room,bathrooms_per_bedroom,NAME
1775000.0,-111.095814,85658,32.471097,0.46,14748,2008,5,6,5349.0,3.0,5,550.0,0,1,1,0,331.8377266778837,355000.0,1.2,Marana
1600000.0,-110.864694,85750,32.331871,1.04,14202,1994,5,8,6677.0,3.0,0,220.0,0,1,1,0,239.6285757076532,320000.0,1.6,Catalina Foothills
1995000.0,-110.912989,85718,32.341088,1.88,27781,2004,4,6,6236.0,3.0,5,422.0,0,1,1,0,319.91661321359845,498750.0,1.5,Catalina Foothills
1750000.0,-110.922363,85718,32.312618,1.22,10780,2004,5,5,5338.0,4.0,4,159.0,0,1,1,0,327.8381416260772,350000.0,1.0,Catalina Foothills
1897000.0,-110.84556,85750,32.327725,1.32,21910,2002,4,7,6800.0,3.0,4,142.0,0,1,0,1,278.97058823529414,474250.0,1.75,Catalina Foothills
1800000.0,-110.908631,85718,32.299399,1.42,4127,2018,5,6,5634.0,4.0,3,193.0,0,1,1,0,319.4888178913738,360000.0,1.2,Catalina Foothills
1950000.0,-110.856406,85715,32.255235,1.97,10191,2013,4,6,5097.0,4.0,4,69.0,0,1,0,1,382.5779870512066,487500.0,1.5,Catalina Foothills
1800000.0,-110.930531,85718,32.292393,5.28,12074,1943,5,4,5324.0,2.0,3,0.0,1,0,1,0,338.09166040571,360000.0,0.8,Catalina Foothills
1950000.0,-110.915343,85718,32.288005,1.57,3767,2019,4,6,4714.0,3.0,2,208.0,1,0,1,0,413.6614340263046,487500.0,1.5,Catalina Foothills
1500000.0,-111.036573,85658,32.45575,4.15,23880,2009,3,4,5440.0,3.0,3,342.0,1,0,0,1,275.7352941176471,500000.0,1.3333333333333333,Marana
1795000.0,-110.913897,85718,32.33625,0.86,12529,2005,5,5,6299.0,3.0,2,50.0,0,1,1,0,284.9658675980314,359000.0,1.0,Catalina Foothills
1700000.0,-110.760047,85749,32.238923,18.17,8602,1953,4,4,2385.0,0.0,2,0.0,1,0,1,0,712.7882599580713,425000.0,1.0,Tanque Verde
1751330.0,-110.943375,85718,32.348627,1.16,21083,2009,5,6,7756.0,3.0,4,169.0,0,1,1,0,225.80324909747293,350266.0,1.2,Catalina Foothills
1900000.0,-110.858992,85750,32.332548,1.3,11690,2006,4,5,5843.0,3.0,4,191.0,1,0,1,0,325.17542358377545,475000.0,1.25,Catalina Foothills
1912500.0,-110.920123,85718,32.28567,2.22,16702,2008,5,8,6602.0,3.0,4,194.0,0,1,1,0,289.68494395637686,382500.0,1.6,Catalina Foothills
1890000.0,-110.859528,85715,32.262883,1.17,8437,1968,4,5,4801.0,3.0,2,79.0,1,0,1,0,393.6679858362841,472500.0,1.25,Catalina Foothills
1750000.0,-110.875675,85718,32.335414,3.81,15484,1982,4,6,6354.0,3.0,4,0.0,0,1,1,0,275.4170601196097,437500.0,1.5,Catalina Foothills
1860000.0,-110.942071,85718,32.350188,1.09,5943,2018,5,5,5764.0,4.0,3,157.0,0,1,0,1,322.6925746009716,372000.0,1.0,Catalina Foothills
1825000.0,-110.919685,85718,32.342472,1.02,18578,1995,5,7,7451.0,3.0,4,323.0,0,1,0,1,244.9335659643001,365000.0,1.4,Catalina Foothills
1400000.0,-110.807964,85750,32.282133,0.32,7434,1999,3,4,3058.0,2.0,1,1100.0,0,1,1,0,457.8155657292348,466666.6666666667,1.3333333333333333,Catalina Foothills
1700000.0,-110.924011,85718,32.34114,0.0,17874,2005,5,6,6719.0,4.0,3,250.0,0,1,1,0,253.01384134543832,340000.0,1.2,Catalina Foothills
1750000.0,-110.924898,85718,32.310463,1.08,16026,2006,5,6,6264.0,4.0,4,158.0,0,1,1,0,279.3742017879949,350000.0,1.2,Catalina Foothills
1909299.0,-111.096949,85658,32.467874,0.46,1609,2015,3,4,3276.0,2.0,2,550.0,0,1,1,0,582.8141025641025,636433.0,1.3333333333333333,Marana
1750000.0,-110.76159,85749,32.302163,3.71,13947,2005,4,6,6239.0,3.0,5,127.0,0,1,1,0,280.49366885718865,437500.0,1.5,Tanque Verde
1658695.0,-110.913585,85718,32.341397,2.18,23203,2001,4,7,7185.0,3.0,2,422.0,0,1,1,0,230.85525400139176,414673.75,1.75,Catalina Foothills
1675000.0,-110.94552,85718,32.350191,1.15,17921,2007,4,5,5813.0,4.0,5,169.0,0,1,1,0,288.1472561500086,418750.0,1.25,Catalina Foothills
1800000.0,-111.063488,85658,32.461205,2.0,1974,2016,3,4,5000.0,3.0,2,149.0,1,0,1,0,360.0,600000.0,1.3333333333333333,Marana
1960000.0,-110.894648,85718,32.335454,4.2,17435,2001,5,8,7043.0,3.0,3,83.0,0,1,1,0,278.2905012068721,392000.0,1.6,Catalina Foothills
1600000.0,-111.089977,85658,32.466875,0.65,5121,2011,3,4,3625.0,3.0,5,118.0,0,1,1,0,441.3793103448276,533333.3333333334,1.3333333333333333,Marana
1680000.0,-110.866463,85750,32.331701,1.26,3646,2013,5,5,5432.0,4.0,3,220.0,0,1,1,0,309.2783505154639,336000.0,1.0,Catalina Foothills
1750000.0,-111.095519,85658,32.471311,0.47,11139,2008,4,5,4724.0,3.0,2,550.0,0,1,1,0,370.4487722269264,437500.0,1.25,Marana
1937000.0,-111.093751,85658,32.470017,0.58,1989,2019,4,5,3620.0,3.0,2,550.0,0,1,1,0,535.0828729281768,484250.0,1.25,Marana
1831392.0,-111.097132,85658,32.468215,0.46,1609,2015,3,4,3276.0,2.0,2,550.0,0,1,1,0,559.032967032967,610464.0,1.3333333333333333,Marana
1650000.0,-111.036562,85658,32.455744,4.15,18658,2009,3,4,5440.0,3.0,3,250.0,1,0,1,0,303.30882352941177,550000.0,1.3333333333333333,Marana
