MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom,price_per_ft_category,lat_lon
21414150,645000.0,85739,-110.857585,32.550826,0.33,4448,2006,3,4,3553.0,3.0,1,140.0,0,1,0,1,181.5367295243456,215000.0,1.3333333333333333,0,32.550826-110.857585
21602043,1800000.0,85750,-110.84556,32.327714,1.32,20206,2002,4,7,6800.0,3.0,4,142.0,0,1,0,1,264.7058823529412,450000.0,1.75,1,32.327714-110.84556
21411265,815000.0,85718,-110.937699,32.346355,0.85,6022,1991,5,4,3665.0,2.0,2,100.0,1,0,0,1,222.3738062755798,163000.0,0.8,1,32.346355-110.937699
21332101,671179.0,85748,-110.74214,32.226416,3.33,5222,1995,4,3,3261.0,3.0,2,55.0,0,1,0,1,205.819993866912,167794.75,0.75,0,32.226416-110.74214
21304693,627711.0,85750,-110.852218,32.311535,0.97,4793,1992,4,4,3314.0,3.0,1,40.0,0,1,0,1,189.41188895594448,156927.75,1.0,0,32.311535-110.852218
21222702,555000.0,85739,-110.891135,32.53483,0.32,3646,2005,5,3,3408.0,3.0,1,134.0,0,1,0,1,162.85211267605635,111000.0,0.6,0,32.53483-110.891135
21806975,1060000.0,85718,-110.946846,32.340913,0.95,11410,2006,4,4,3935.0,4.0,2,157.0,0,1,0,1,269.3773824650572,265000.0,1.0,1,32.340913-110.946846
21816930,637000.0,85718,-110.93073,32.286121,1.0,4627,1955,4,4,3256.0,2.0,2,0.0,0,1,0,1,195.63882063882065,159250.0,1.0,0,32.286121-110.93073
21812274,560000.0,85749,-110.720398,32.275621,3.33,5937,2002,3,3,2919.0,3.0,1,0.0,0,1,1,0,191.84652278177455,186666.66666666663,1.0,0,32.275621-110.720398
21905180,1690000.0,85718,-110.948431,32.348022,1.48,13525,2005,5,5,4779.0,4.0,3,157.0,1,0,1,0,353.6304666248169,338000.0,1.0,1,32.348022-110.948431
