MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom,price_per_ft_category
21333295,550000.0,85718,-110.935057,32.346048,0.92,4504,1983,4,3,3055.0,2.0,3,111.0,1,0,0,1,180.0327332242226,137500.0,0.75,0
21828368,670000.0,85718,-110.935057,32.346051,0.92,6113,1983,4,3,3055.0,2.0,3,100.0,1,0,1,0,219.3126022913257,167500.0,0.75,1
21612266,721701.0,85750,-110.859586,32.285559,0.9,2182,2016,4,3,3060.0,3.0,2,40.0,0,1,0,1,235.85,180425.25,0.75,1
21626690,739900.0,85750,-110.859871,32.285333,0.9,2182,2015,4,3,3060.0,3.0,2,40.0,0,1,0,1,241.79738562091504,184975.0,0.75,1
21717055,750000.0,85755,-110.977205,32.438031,0.52,7635,2007,3,4,3067.0,2.5,3,100.0,0,1,0,1,244.5386371046625,250000.0,1.3333333333333333,1
21223824,715000.0,85755,-110.977216,32.438041,0.52,6479,2007,3,4,3067.0,2.5,3,77.0,0,1,0,1,233.1268340397783,238333.3333333333,1.3333333333333333,1
21203376,565000.0,85718,-110.919407,32.310475,0.79,5924,1994,4,4,3077.0,2.0,3,4.0,0,1,0,1,183.62040948976275,141250.0,1.0,0
21809130,605000.0,85704,-110.989601,32.385174,1.05,5991,1996,5,3,3077.0,2.0,1,45.9,0,1,0,1,196.62008449788755,121000.0,0.6,0
21913950,641000.0,85704,-110.989601,32.385176,1.05,6022,1996,5,3,3077.0,2.0,1,48.0,0,1,1,0,208.31979200519987,128200.0,0.6,0
21606667,620000.0,85718,-110.919399,32.31046,0.79,6692,1994,4,4,3077.0,2.0,3,4.0,0,1,0,1,201.4949626259344,155000.0,1.0,0
21801833,480000.0,85742,-111.0638,32.408088,1.1,1356,2017,4,3,3082.0,3.0,0,0.0,0,1,0,1,155.74302401038287,120000.0,0.75,0
21804019,480000.0,85742,-111.0638,32.408082,1.1,1355,2018,4,3,3082.0,3.0,0,0.0,0,1,0,1,155.74302401038287,120000.0,0.75,0
21534099,3000000.0,85739,-110.883068,32.508778,0.0,8980,2008,3,3,3095.0,0.0,3,1717.0,1,0,0,1,969.3053311793216,1000000.0,1.0,1
21225585,2600000.0,85739,-110.883252,32.507699,0.0,18044,2008,3,3,3095.0,0.0,3,0.0,1,0,0,1,840.064620355412,866666.6666666666,1.0,1
21324339,2600000.0,85739,-110.883239,32.50904,0.0,17567,2008,3,3,3095.0,0.0,3,0.0,1,0,0,1,840.064620355412,866666.6666666666,1.0,1
21207846,2600000.0,85739,-110.883065,32.508778,0.0,8753,2008,3,3,3095.0,0.0,3,0.0,1,0,0,1,840.064620355412,866666.6666666666,1.0,1
21708234,750000.0,85718,-110.886447,32.325057,0.61,5550,2010,4,3,3114.0,2.0,1,258.0,1,0,0,1,240.84778420038532,187500.0,0.75,1
21402805,766000.0,85718,-110.886413,32.325052,0.61,4037,1967,4,3,3114.0,2.0,1,180.0,1,0,0,1,245.9858702633269,191500.0,0.75,1
21406304,665000.0,85750,-110.859227,32.320732,0.98,5217,1991,4,3,3122.0,3.0,1,41.0,0,1,0,1,213.00448430493276,166250.0,0.75,1
21625061,677900.0,85750,-110.859218,32.320718,0.98,6950,1991,4,3,3122.0,3.0,1,41.0,0,1,0,1,217.13645099295323,169475.0,0.75,1
21808249,726000.0,85718,-110.922241,32.307957,1.06,5617,1960,4,3,3128.0,2.0,2,4.16,0,1,1,0,232.09718670076725,181500.0,0.75,1
21708851,715000.0,85718,-110.921178,32.308537,1.06,5399,1960,4,3,3128.0,2.0,2,4.0,0,1,0,1,228.58056265984652,178750.0,0.75,1
21521112,660000.0,85755,-110.984011,32.425829,1.2,6462,2000,4,3,3130.0,3.0,2,73.0,1,0,0,1,210.8626198083067,165000.0,0.75,0
21822619,765000.0,85755,-110.984011,32.425815,1.2,7291,2000,4,3,3130.0,3.0,2,85.0,1,0,1,0,244.40894568690092,191250.0,0.75,1
21818075,740000.0,85718,-110.905564,32.318292,0.56,6220,1997,4,3,3154.0,3.0,1,135.0,1,0,1,0,234.6227013316424,185000.0,0.75,1
21431615,695000.0,85718,-110.905564,32.318294,0.56,4645,1997,4,3,3154.0,3.0,1,126.0,1,0,0,1,220.35510462904247,173750.0,0.75,1
21913339,798000.0,85750,-110.858393,32.282656,0.87,6711,1982,4,3,3167.0,3.0,1,6.0,1,0,0,1,251.9734764761604,199500.0,0.75,1
21811358,750000.0,85750,-110.858393,32.282655,0.87,5423,1982,4,3,3167.0,3.0,1,0.0,1,0,0,1,236.8171771392485,187500.0,0.75,1
21732599,719000.0,85718,-110.893561,32.329752,0.87,7250,2012,3,3,3176.0,2.0,1,0.0,1,0,1,0,226.3853904282116,239666.66666666663,1.0,1
21222937,779000.0,85718,-110.893404,32.329557,0.87,2279,2012,3,3,3176.0,2.0,1,0.0,1,0,0,1,245.27707808564236,259666.66666666663,1.0,1
21703492,576000.0,85739,-110.860543,32.539054,0.24,4042,2004,4,3,3220.0,3.0,1,199.0,0,1,0,1,178.88198757763976,144000.0,0.75,0
21515590,575000.0,85737,-111.005389,32.414913,0.58,4646,2002,5,3,3220.0,3.0,1,16.0,0,1,0,1,178.57142857142858,115000.0,0.6,0
21921170,610000.0,85737,-111.005388,32.414912,0.58,5723,2002,5,3,3220.0,3.0,1,17.0,0,1,1,0,189.44099378881987,122000.0,0.6,0
21414802,550000.0,85739,-110.860543,32.539051,0.24,3976,2004,4,3,3220.0,3.0,1,199.0,0,1,0,1,170.80745341614906,137500.0,0.75,0
21832453,553118.0,85755,-110.963742,32.447012,0.2,1122,2018,4,4,3236.0,3.0,0,100.0,0,1,1,0,170.92645241038318,138279.5,1.0,0
21907997,635451.0,85755,-110.962269,32.44639,0.19,1122,2019,4,4,3236.0,3.0,0,100.0,0,1,1,0,196.36928306551297,158862.75,1.0,0
21832500,705837.0,85755,-110.962445,32.446781,0.19,1122,2018,4,4,3236.0,3.0,0,100.0,0,1,1,0,218.12021013597032,176459.25,1.0,1
21903597,543445.0,85755,-110.963827,32.445949,0.2,1122,2019,4,4,3236.0,3.0,0,100.0,0,1,1,0,167.93726823238566,135861.25,1.0,0
21617809,730000.0,85718,-110.931769,32.326572,1.12,4753,1979,4,3,3239.0,2.0,1,9.0,1,0,0,1,225.3782031491201,182500.0,0.75,1
21503523,455000.0,85718,-110.931769,32.326575,1.12,4361,1979,4,3,3239.0,2.0,1,9.0,0,1,0,1,140.47545538746527,113750.0,0.75,0
21421148,575000.0,85750,-110.857761,32.322797,0.37,4143,1989,5,3,3248.0,3.0,1,38.0,1,0,0,1,177.0320197044335,115000.0,0.6,0
21500012,599999.0,85750,-110.857759,32.322799,0.37,4578,1989,5,3,3248.0,3.0,1,38.0,1,0,0,1,184.72875615763547,119999.8,0.6,0
21308860,700000.0,85750,-110.843537,32.325918,0.32,5846,1995,4,3,3254.0,2.0,1,122.0,0,1,0,1,215.119852489244,175000.0,0.75,1
21905698,768500.0,85750,-110.843536,32.325918,0.32,7546,1995,4,3,3254.0,2.0,1,150.0,1,0,1,0,236.17086662569145,192125.0,0.75,1
21317924,572500.0,85745,-111.06766,32.238416,1.61,8078,2005,5,4,3264.0,3.0,2,88.0,1,0,0,1,175.3982843137255,114500.0,0.8,0
21829764,680000.0,85745,-111.06767,32.238421,1.61,7779,2005,5,4,3264.0,3.0,2,96.0,1,0,0,1,208.33333333333331,136000.0,0.8,0
