MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom,price_per_ft_category,lat_lon
21904274,678000.0,85742,-111.024568,32.421816,5.0,12550,1991,5,4,5363.0,4.0,1,0.0,0,1,1,0,126.4217788551184,135600.0,0.8,0,32.421816-111.024568
21310466,580000.0,85716,-110.925005,32.233103,0.16,3968,1993,4,3,3047.0,2.0,1,0.0,0,1,0,1,190.35116508040696,145000.0,0.75,0,32.233103-110.925005
21210422,625000.0,85716,-110.924956,32.218653,1.1,7792,1959,4,3,3317.0,2.0,0,0.0,1,0,0,1,188.42327404280977,156250.0,0.75,0,32.218653-110.924956
21619877,512000.0,85755,-110.99649,32.434182,4.29,7031,2009,3,3,2565.0,2.0,1,0.0,0,1,0,1,199.6101364522417,170666.66666666666,1.0,0,32.434182-110.99649
21629042,1100000.0,85718,-110.908154,32.29887,1.99,10011,1991,4,5,4954.0,3.0,4,193.0,0,1,0,1,222.04279370205893,275000.0,1.25,1,32.29887-110.908154
21430743,775000.0,85718,-110.919503,32.31175,1.14,5290,2000,4,4,3275.0,3.0,2,174.0,1,0,0,1,236.6412213740458,193750.0,1.0,1,32.31175-110.919503
21803452,600000.0,85750,-110.851918,32.319831,0.13,5453,1998,3,3,2771.0,2.0,1,107.0,0,1,1,0,216.52832912306027,200000.0,1.0,1,32.319831-110.851918
21502856,545000.0,85718,-110.881592,32.331333,0.83,8740,1967,4,5,5308.0,2.0,4,215.0,0,1,0,1,102.67520723436324,136250.0,1.25,0,32.331333-110.881592
21916901,599000.0,85742,-111.017577,32.352375,0.98,6809,1985,4,4,4826.0,3.0,3,13.0,0,1,1,0,124.1193535018649,149750.0,1.0,0,32.352375-111.017577
21909912,788000.0,85641,-110.661253,32.092791,2.43,7251,2005,4,4,3701.0,3.0,2,73.33,1,0,0,1,212.9154282626317,197000.0,1.0,1,32.092791-110.661253
21305677,680000.0,85719,-110.941196,32.230196,0.22,3065,1923,4,4,2825.0,2.0,2,0.0,0,1,0,1,240.7079646017699,170000.0,1.0,1,32.230196-110.941196
21514455,1100000.0,85718,-110.917571,32.301257,1.26,7202,2007,4,5,4850.0,3.0,4,125.0,0,1,0,1,226.8041237113402,275000.0,1.25,1,32.301257-110.917571
21814330,840000.0,85718,-110.928868,32.330453,0.82,6739,1994,4,3,3200.0,3.0,3,0.0,0,1,0,1,262.5,210000.0,0.75,1,32.330453-110.928868
21429488,802000.0,85755,-110.967206,32.464199,0.99,10864,1999,5,5,4339.0,3.0,2,100.0,0,1,0,1,184.8352154874395,160400.0,1.0,0,32.464199-110.967206
21222026,1890000.0,85715,-110.859528,32.262883,1.17,8437,1968,4,5,4801.0,3.0,2,79.0,0,1,0,1,393.6679858362841,472500.0,1.25,1,32.262883-110.859528
21914679,565000.0,85750,-110.827564,32.296115,0.83,5167,2000,4,3,3002.0,3.0,1,0.0,0,1,1,0,188.2078614257162,141250.0,0.75,0,32.296115-110.827564
21906219,580000.0,85718,-110.96033,32.329594,0.58,6899,2003,4,4,3531.0,3.0,1,5.0,0,1,0,1,164.2594165958652,145000.0,1.0,0,32.329594-110.96033
21731219,720000.0,85718,-110.904878,32.320413,0.44,6062,1987,3,4,2939.0,2.0,2,135.0,1,0,1,0,244.9812861517523,240000.0,1.3333333333333333,1,32.320413-110.904878
