latitude,longitude,price_per_ft_category
32.289059,-110.923867,2
32.256525,-111.074359,2
32.230184,-110.940743,2
32.431314,-110.985888,1
32.241345,-111.075343,2
32.417962,-110.971372,1
32.470886,-111.096117,4
32.270161,-110.739879,1
32.463124,-111.076756,2
32.387779,-111.074849,1
32.262861,-110.847125,1
32.412287,-111.028247,1
32.297649,-110.920265,2
32.252955,-110.852755,1
32.325786,-110.932804,2
32.232585,-110.929461,1
32.324702,-110.867959,2
32.290895,-110.921711,3
32.439088,-111.039615,1
32.307957,-110.922241,2
32.092762,-110.663901,2
32.462987,-111.0748,2
32.26233,-110.735536,1
32.454803,-110.994459,2
32.327402,-110.871109,2
32.388165,-110.945878,2
32.319877,-110.883952,1
32.339772,-110.925852,2
32.232371,-110.968269,2
31.631884,-110.742582,2
32.331508,-110.941162,2
32.320256,-110.841289,2
32.322515,-110.885844,1
32.327575,-110.83795,4
32.325324,-110.881391,1
32.322167,-110.833305,2
32.254471,-110.897346,1
32.276859,-110.887348,2
32.385174,-110.989601,1
32.474047,-110.961253,2
32.270206,-110.82143,2
32.301344,-110.954995,2
32.424944,-110.980608,2
32.325147,-110.856322,1
31.361562,-110.828109,0
32.32992,-110.967527,1
32.212681,-111.039842,1
32.321968,-110.866891,2
32.292974,-110.921286,2
32.255755,-110.733204,3
32.394126,-111.018713,1
32.343722,-110.944522,2
32.240931,-110.940139,2
32.218041,-110.745117,1
32.332428,-110.859564,2
32.266772,-110.731282,1
32.349845,-110.943728,3
32.387752,-110.977572,1
32.294162,-110.94345,2
32.285927,-110.914279,2
32.299459,-110.865166,1
32.40955,-111.073328,1
31.676651,-110.681698,1
32.471811,-110.960808,2
32.311892,-110.92984,1
32.233652,-110.929462,1
32.408074,-110.985682,2
32.307094,-110.949393,1
32.467962,-111.088453,2
32.262244,-110.734245,1
32.387182,-110.952366,2
32.33036,-110.92827,2
32.471311,-111.095519,3
32.400995,-110.990607,2
32.31089,-110.951914,1
32.319809,-110.82855,2
32.430283,-110.985141,2
32.326148,-110.845824,2
32.323231,-110.83367,2
32.274529,-110.82352,1
32.22205,-111.041158,1
32.456609,-110.995201,2
32.330801,-110.898928,1
32.42963,-110.987099,1
32.48454,-110.913672,1
32.263537,-110.887169,2
32.324264,-110.844118,2
32.329529,-110.838615,2
32.31597,-110.966636,1
32.258158,-110.734958,2
32.466766,-111.06467,2
32.298323,-110.927625,2
32.226357,-110.936218,3
32.263948,-110.859359,2
32.288707,-110.815773,1
32.551038,-110.86056,2
32.294493,-110.890161,2
32.45982,-110.943993,2
32.45911,-110.976076,2
32.334463,-110.922188,1
32.453282,-110.984498,1
32.296932,-110.740444,1
32.260135,-110.885743,2
32.303565,-110.881862,2
32.276262,-111.059731,2
32.320915,-110.958488,1
32.283931,-110.823886,2
32.293326,-110.903144,1
32.455463,-110.979363,2
32.217593,-111.042673,1
32.281945,-110.882611,1
32.385391,-110.970612,1
32.422575,-111.020086,2
32.263892,-110.863221,1
32.303114,-110.97453,1
32.460423,-110.990862,2
32.215124,-110.920003,1
32.299312,-110.778952,1
32.338206,-110.938469,2
32.311602,-110.934217,1
32.46298,-111.085176,2
32.283039,-110.840136,2
32.092208,-110.662665,1
32.335447,-110.877798,2
32.454438,-110.939364,2
31.86381,-110.091909,1
32.31044,-110.853088,1
32.293354,-110.843529,2
32.309098,-110.973287,2
32.5536,-110.860284,2
32.262987,-111.044832,1
32.331767,-110.93959,2
32.418519,-111.053085,3
32.312069,-110.917178,2
32.405228,-110.966923,2
32.248151,-110.72988,1
32.293912,-110.781931,1
32.328019,-110.829661,4
31.62548,-110.746668,1
32.342169,-110.924347,2
32.309449,-111.082223,2
32.382643,-110.986712,1
32.323168,-110.843547,2
32.33258,-110.858378,2
32.290647,-110.927904,2
32.32002,-110.83876,1
32.324092,-110.868503,2
32.427096,-110.981723,2
