ZIP Code,City,Latitude,Longitude
85922,Bluewater,34.18,-114.26
86520,Bluewater,34.17,-114.27
86520,Bluewater,34.18,-114.26
85923,Clay Springs,34.36,-110.3
85924,Concho,34.47,-109.61
85925,Eagar town,34.11,-109.3
85928,Heber-Overgaard,34.41,-110.57
85933,Heber-Overgaard,34.41,-110.57
85929,Pinetop-Lakeside town,34.15,-109.97
85930,McNary,34.09,-109.85
85931,Cactus Forest,32.96,-111.32
85934,Pinedale,34.32,-110.26
85937,Snowflake town,34.52,-110.09
85938,Springerville town,34.16,-109.3
85939,Taylor town,34.44,-110.1
85940,Vernon,34.25,-109.69
85941,Whiteriver,33.84,-109.96
85942,Woodruff,34.78,-110.04
86001,Flagstaff city,35.19,-111.62
86002,Flagstaff city,35.19,-111.62
86003,Flagstaff city,35.19,-111.62
86004,Flagstaff city,35.19,-111.62
86005,Flagstaff city,35.19,-111.62
86011,Flagstaff city,35.19,-111.62
86015,Lake Montezuma,34.64,-111.8
86016,Casa Grande city,32.91,-111.76
86023,Casa Grande city,32.91,-111.76
86017,Munds Park,34.94,-111.63
86018,Parks,35.29,-111.98
86020,Cameron,35.85,-111.43
86038,Cameron,35.85,-111.43
86502,Cameron,35.85,-111.43
86021,Colorado City town,36.98,-112.98
86025,Holbrook city,34.9,-110.17
86031,Indian Wells,35.41,-110.11
86032,Joseph City,34.96,-110.33
86033,Kayenta,36.71,-110.26
86034,Keams Canyon,35.82,-110.2
86035,Leupp,35.3,-111.0
86036,Freedom Acres,34.32,-111.31
86039,Kykotsmovi Village,35.86,-110.63
86040,Page city,36.9,-111.46
86043,Second Mesa,35.82,-110.49
86044,Tonalea,36.32,-110.97
86045,Tuba City,36.13,-111.25
86046,Williams city,35.25,-112.18
86047,Winslow city,35.03,-110.71
86052,North Fork,34.0,-109.96
86053,Kaibito,36.59,-111.11
86054,Shonto,36.59,-110.66
86301,Prescott city,34.58,-112.45
86302,Prescott city,34.58,-112.45
86303,Prescott city,34.58,-112.45
86304,Prescott city,34.58,-112.45
86305,Prescott city,34.58,-112.45
86312,Prescott city,34.58,-112.45
86313,Prescott city,34.58,-112.45
86314,Prescott city,34.58,-112.45
86315,Prescott city,34.58,-112.45
86320,Ash Fork,35.22,-112.49
86321,Bagdad,34.58,-113.18
86322,Camp Verde town,34.57,-111.86
86323,Chino Valley town,34.76,-112.41
86324,Clarkdale town,34.75,-112.05
86325,Cornville,34.74,-111.91
86326,Cottonwood,36.07,-109.89
86327,Dewey-Humboldt town,34.52,-112.25
86329,Dewey-Humboldt town,34.52,-112.25
86331,Jerome town,34.75,-112.11
86332,Central Heights-Midland City,33.4,-110.82
86333,Mayer,34.42,-112.24
86334,Paulden,34.89,-112.49
86335,Red Rock,32.56,-111.37
86335,Red Rock,36.6,-109.06
86336,Sedona city,34.86,-111.79
86339,Sedona city,34.86,-111.79
86340,Sedona city,34.86,-111.79
86341,Sedona city,34.86,-111.79
86351,Sedona city,34.86,-111.79
86337,Seligman,35.33,-112.86
86401,Kingman city,35.22,-114.02
86402,Kingman city,35.22,-114.02
86409,Kingman city,35.22,-114.02
86411,Hackberry,35.34,-113.73
86412,Supai,36.23,-112.69
